typeID,activityID,time
897,1,900
897,3,315
897,4,315
897,5,720
898,1,900
898,3,315
898,4,315
898,5,720
898,8,68100
899,1,900
899,3,315
899,4,315
899,5,720
899,8,68100
900,1,900
900,3,315
900,4,315
900,5,720
901,1,900
901,3,315
901,4,315
901,5,720
902,1,900
902,3,315
902,4,315
902,5,720
935,3,2100
935,4,2100
935,5,4800
936,1,6000
936,3,2100
936,4,2100
936,5,4800
936,8,63900
937,1,6000
937,3,2100
937,4,2100
937,5,4800
937,8,63900
938,1,6000
938,3,2100
938,4,2100
938,5,4800
939,1,6000
939,3,2100
939,4,2100
939,5,4800
939,8,63900
940,1,6000
940,3,2100
940,4,2100
940,5,4800
940,8,63900
941,1,6000
941,3,2100
941,4,2100
941,5,4800
941,8,63900
943,3,2100
943,4,2100
943,5,4800
944,1,6000
944,3,2100
944,4,2100
944,5,4800
944,8,63900
945,1,6000
945,3,2100
945,4,2100
945,5,4800
945,8,63900
946,1,6000
946,3,2100
946,4,2100
946,5,4800
946,8,63900
947,1,6000
947,3,2100
947,4,2100
947,5,4800
948,3,2100
948,4,2100
948,5,4800
949,1,6000
949,3,2100
949,4,2100
949,5,4800
949,8,63900
950,1,6000
950,3,2100
950,4,2100
950,5,4800
950,8,63900
952,1,6000
952,3,2100
952,4,2100
952,5,4800
952,8,63900
953,3,2100
953,4,2100
953,5,4800
954,1,6000
954,3,2100
954,4,2100
954,5,4800
954,8,63900
955,1,6000
955,3,2100
955,4,2100
955,5,4800
955,8,63900
956,1,6000
956,3,2100
956,4,2100
956,5,4800
956,8,63900
960,1,6000
960,3,2100
960,4,2100
960,5,4800
961,1,6000
961,3,2100
961,4,2100
961,5,4800
962,1,6000
962,3,2100
962,4,2100
962,5,4800
963,1,6000
963,3,2100
963,4,2100
963,5,4800
964,1,6000
964,3,2100
964,4,2100
964,5,4800
965,1,6000
965,3,2100
965,4,2100
965,5,4800
966,1,6000
966,3,2100
966,4,2100
966,5,4800
967,1,6000
967,3,2100
967,4,2100
967,5,4800
968,1,12000
968,3,4200
968,4,4200
968,5,9600
968,8,128100
969,1,12000
969,3,4200
969,4,4200
969,5,9600
969,8,128100
970,1,12000
970,3,4200
970,4,4200
970,5,9600
970,8,128100
971,1,12000
971,3,4200
971,4,4200
971,5,9600
971,8,128100
972,1,12000
972,3,4200
972,4,4200
972,5,9600
972,8,128100
973,1,12000
973,3,4200
973,4,4200
973,5,9600
973,8,128100
974,1,12000
974,3,4200
974,4,4200
974,5,9600
974,8,128100
975,1,12000
975,3,4200
975,4,4200
975,5,9600
975,8,128100
976,1,12000
976,3,4200
976,4,4200
976,5,9600
976,8,128100
977,1,12000
977,3,4200
977,4,4200
977,5,9600
977,8,128100
978,1,12000
978,3,4200
978,4,4200
978,5,9600
978,8,128100
979,1,12000
979,3,4200
979,4,4200
979,5,9600
979,8,128100
983,1,12000
983,3,4200
983,4,4200
983,5,9600
983,8,128100
984,1,12000
984,3,4200
984,4,4200
984,5,9600
984,8,128100
985,1,12000
985,3,4200
985,4,4200
985,5,9600
985,8,128100
986,1,12000
986,3,4200
986,4,4200
986,5,9600
987,1,12000
987,3,4200
987,4,4200
987,5,9600
987,8,128100
988,1,12000
988,3,4200
988,4,4200
988,5,9600
988,8,128100
989,1,12000
989,3,4200
989,4,4200
989,5,9600
990,1,12000
990,3,4200
990,4,4200
990,5,9600
990,8,128100
991,1,12000
991,3,4200
991,4,4200
991,5,9600
992,1,12000
992,3,4200
992,4,4200
992,5,9600
994,1,18000
994,3,6300
994,4,6300
994,5,14400
994,8,192000
995,1,18000
995,3,6300
995,4,6300
995,5,14400
995,8,192000
996,1,18000
996,3,6300
996,4,6300
996,5,14400
996,8,192000
997,1,18000
997,3,6300
997,4,6300
997,5,14400
997,8,192000
998,1,18000
998,3,6300
998,4,6300
998,5,14400
998,8,192000
999,1,18000
999,3,6300
999,4,6300
999,5,14400
999,8,192000
1002,1,9000000
1002,3,126000
1002,4,126000
1002,5,7200000
1010,1,900
1010,3,315
1010,4,315
1010,5,720
1010,8,13800
1013,1,2340
1013,3,819
1013,4,819
1013,5,1872
1026,1,1800
1026,3,630
1026,4,630
1026,5,1440
1026,8,30900
1027,1,4680
1027,3,1638
1027,4,1638
1027,5,3744
1032,1,900
1032,3,315
1032,4,315
1032,5,720
1032,8,13800
1033,1,2340
1033,3,819
1033,4,819
1033,5,1872
1067,1,900
1067,3,315
1067,4,315
1067,5,720
1067,8,13800
1071,1,2340
1071,3,819
1071,4,819
1071,5,1872
1072,1,900
1072,3,315
1072,4,315
1072,5,720
1072,8,13800
1073,1,2340
1073,3,819
1073,4,819
1073,5,1872
1074,1,1800
1074,3,630
1074,4,630
1074,5,1440
1074,8,30900
1075,1,1800
1075,3,630
1075,4,630
1075,5,1440
1075,8,30900
1076,1,1800
1076,3,630
1076,4,630
1076,5,1440
1076,8,30900
1079,1,1800
1079,3,630
1079,4,630
1079,5,1440
1079,8,30900
1080,1,4680
1080,3,1638
1080,4,1638
1080,5,3744
1095,1,2340
1095,3,819
1095,4,819
1095,5,1872
1096,1,900
1096,3,315
1096,4,315
1096,5,720
1096,8,13800
1099,1,900
1099,3,315
1099,4,315
1099,5,720
1099,8,13800
1100,1,900
1100,3,315
1100,4,315
1100,5,720
1100,8,13800
1102,1,1800
1102,3,630
1102,4,630
1102,5,1440
1102,8,30900
1103,1,4680
1103,3,1638
1103,4,1638
1103,5,3744
1105,1,900
1105,3,315
1105,4,315
1105,5,720
1105,8,13800
1106,1,900
1106,3,315
1106,4,315
1106,5,720
1106,8,13800
1109,1,900
1109,3,315
1109,4,315
1109,5,720
1109,8,13800
1112,1,900
1112,3,315
1112,4,315
1112,5,720
1112,8,13800
1113,1,900
1113,3,315
1113,4,315
1113,5,720
1113,8,13800
1114,1,900
1114,3,315
1114,4,315
1114,5,720
1114,8,13800
1115,1,900
1115,3,315
1115,4,315
1115,5,720
1115,8,13800
1116,1,900
1116,3,315
1116,4,315
1116,5,720
1116,8,13800
1117,1,1800
1117,3,630
1117,4,630
1117,5,1440
1117,8,30900
1118,1,1800
1118,3,630
1118,4,630
1118,5,1440
1118,8,30900
1119,1,1800
1119,3,630
1119,4,630
1119,5,1440
1119,8,30900
1120,1,1800
1120,3,630
1120,4,630
1120,5,1440
1120,8,30900
1121,1,1800
1121,3,630
1121,4,630
1121,5,1440
1121,8,30900
1122,1,2700
1122,3,945
1122,4,945
1122,5,2160
1122,8,51000
1123,1,2700
1123,3,945
1123,4,945
1123,5,2160
1123,8,51000
1124,1,2700
1124,3,945
1124,4,945
1124,5,2160
1124,8,51000
1125,1,2700
1125,3,945
1125,4,945
1125,5,2160
1125,8,51000
1126,1,2700
1126,3,945
1126,4,945
1126,5,2160
1126,8,51000
1128,1,1800
1128,3,630
1128,4,630
1128,5,1440
1128,8,30900
1129,1,1800
1129,3,630
1129,4,630
1129,5,1440
1129,8,30900
1130,1,300
1130,3,105
1130,4,105
1130,5,240
1131,1,300
1131,3,105
1131,4,105
1131,5,240
1132,1,300
1132,3,105
1132,4,105
1132,5,240
1132,8,22800
1133,1,300
1133,3,105
1133,4,105
1133,5,240
1134,1,300
1134,3,105
1134,4,105
1134,5,240
1134,8,22800
1135,1,300
1135,3,105
1135,4,105
1135,5,240
1136,1,300
1136,3,105
1136,4,105
1136,5,240
1136,8,22800
1137,1,300
1137,3,105
1137,4,105
1137,5,240
1137,8,22800
1138,1,600
1138,3,210
1138,4,210
1138,5,480
1139,1,600
1139,3,210
1139,4,210
1139,5,480
1140,1,600
1140,3,210
1140,4,210
1140,5,480
1140,8,45600
1141,1,600
1141,3,210
1141,4,210
1141,5,480
1142,1,600
1142,3,210
1142,4,210
1142,5,480
1142,8,45600
1143,1,600
1143,3,210
1143,4,210
1143,5,480
1144,1,600
1144,3,210
1144,4,210
1144,5,480
1144,8,45600
1145,1,600
1145,3,210
1145,4,210
1145,5,480
1145,8,45600
1146,1,900
1146,3,315
1146,4,315
1146,5,720
1147,1,900
1147,3,315
1147,4,315
1147,5,720
1148,1,900
1148,3,315
1148,4,315
1148,5,720
1148,8,68100
1149,1,900
1149,3,315
1149,4,315
1149,5,720
1150,1,900
1150,3,315
1150,4,315
1150,5,720
1150,8,68100
1151,1,900
1151,3,315
1151,4,315
1151,5,720
1152,1,900
1152,3,315
1152,4,315
1152,5,720
1152,8,68100
1153,1,900
1153,3,315
1153,4,315
1153,5,720
1153,8,68100
1154,1,300
1154,3,105
1154,4,105
1154,5,240
1154,8,22800
1155,1,300
1155,3,105
1155,4,105
1155,5,240
1156,1,300
1156,3,105
1156,4,105
1156,5,240
1157,1,300
1157,3,105
1157,4,105
1157,5,240
1158,1,300
1158,3,105
1158,4,105
1158,5,240
1158,8,22800
1159,1,300
1159,3,105
1159,4,105
1159,5,240
1159,8,22800
1160,1,300
1160,3,105
1160,4,105
1160,5,240
1161,1,300
1161,3,105
1161,4,105
1161,5,240
1161,8,22800
1162,1,600
1162,3,210
1162,4,210
1162,5,480
1162,8,45600
1163,1,600
1163,3,210
1163,4,210
1163,5,480
1164,1,600
1164,3,210
1164,4,210
1164,5,480
1165,1,600
1165,3,210
1165,4,210
1165,5,480
1166,1,600
1166,3,210
1166,4,210
1166,5,480
1166,8,45600
1167,1,600
1167,3,210
1167,4,210
1167,5,480
1167,8,45600
1168,1,600
1168,3,210
1168,4,210
1168,5,480
1169,1,600
1169,3,210
1169,4,210
1169,5,480
1169,8,45600
1170,1,900
1170,3,315
1170,4,315
1170,5,720
1170,8,68100
1171,1,900
1171,3,315
1171,4,315
1171,5,720
1172,1,900
1172,3,315
1172,4,315
1172,5,720
1173,1,900
1173,3,315
1173,4,315
1173,5,720
1174,1,900
1174,3,315
1174,4,315
1174,5,720
1174,8,68100
1175,1,900
1175,3,315
1175,4,315
1175,5,720
1175,8,68100
1176,1,900
1176,3,315
1176,4,315
1176,5,720
1177,1,900
1177,3,315
1177,4,315
1177,5,720
1177,8,68100
1178,1,300
1178,3,105
1178,4,105
1178,5,240
1179,1,300
1179,3,105
1179,4,105
1179,5,240
1184,1,2340
1184,3,819
1184,4,819
1184,5,1872
1186,1,900
1186,3,315
1186,4,315
1186,5,720
1186,8,13800
1191,1,2340
1191,3,819
1191,4,819
1191,5,1872
1196,1,1800
1196,3,630
1196,4,630
1196,5,1440
1196,8,30900
1204,1,900
1204,3,315
1204,4,315
1204,5,720
1204,8,13800
1205,1,2340
1205,3,819
1205,4,819
1205,5,1872
1208,1,2700
1208,3,945
1208,4,945
1208,5,2160
1208,8,51000
1210,1,1800
1210,3,630
1210,4,630
1210,5,1440
1210,8,30900
1212,1,1800
1212,3,630
1212,4,630
1212,5,1440
1212,8,30900
1214,1,900
1214,3,315
1214,4,315
1214,5,720
1214,8,23700
1216,1,300
1216,3,105
1216,4,105
1216,5,240
1217,1,300
1217,3,105
1217,4,105
1217,5,240
1218,1,300
1218,3,105
1218,4,105
1218,5,240
1220,1,300
1220,3,105
1220,4,105
1220,5,240
1220,8,22800
1221,1,900
1221,3,315
1221,4,315
1221,5,720
1221,8,68100
1237,1,2340
1237,3,819
1237,4,819
1237,5,1872
1245,1,900
1245,3,315
1245,4,315
1245,5,720
1245,8,13800
1247,1,900
1247,3,315
1247,4,315
1247,5,720
1247,8,13800
1249,1,2340
1249,3,819
1249,4,819
1249,5,1872
1255,1,900
1255,3,315
1255,4,315
1255,5,720
1255,8,13800
1257,1,2340
1257,3,819
1257,4,819
1257,5,1872
1265,1,900
1265,3,315
1265,4,315
1265,5,720
1265,8,13800
1267,1,2340
1267,3,819
1267,4,819
1267,5,1872
1275,1,900
1275,3,315
1275,4,315
1275,5,720
1275,8,13800
1277,1,2340
1277,3,819
1277,4,819
1277,5,1872
1285,1,900
1285,3,315
1285,4,315
1285,5,720
1285,8,13800
1287,1,2340
1287,3,819
1287,4,819
1287,5,1872
1295,1,900
1295,3,315
1295,4,315
1295,5,720
1295,8,13800
1297,1,2340
1297,3,819
1297,4,819
1297,5,1872
1305,1,900
1305,3,315
1305,4,315
1305,5,720
1305,8,13800
1307,1,2340
1307,3,819
1307,4,819
1307,5,1872
1318,1,900
1318,3,315
1318,4,315
1318,5,720
1318,8,13800
1320,1,2340
1320,3,819
1320,4,819
1320,5,1872
1334,1,900
1334,3,315
1334,4,315
1334,5,720
1334,8,13800
1336,1,2340
1336,3,819
1336,4,819
1336,5,1872
1354,1,900
1354,3,315
1354,4,315
1354,5,720
1354,8,13800
1356,1,2340
1356,3,819
1356,4,819
1356,5,1872
1404,1,900
1404,3,315
1404,4,315
1404,5,720
1404,8,13800
1406,1,2340
1406,3,819
1406,4,819
1406,5,1872
1423,1,2340
1423,3,819
1423,4,819
1423,5,1872
1437,1,7020
1437,3,2457
1437,4,2457
1437,5,5616
1446,1,900
1446,3,315
1446,4,315
1446,5,720
1446,8,13800
1448,1,2340
1448,3,819
1448,4,819
1448,5,1872
1540,1,900
1540,3,315
1540,4,315
1540,5,720
1540,8,13800
1542,1,2340
1542,3,819
1542,4,819
1542,5,1872
1548,1,900
1548,3,315
1548,4,315
1548,5,720
1548,8,13800
1550,1,2340
1550,3,819
1550,4,819
1550,5,1872
1552,1,900
1552,3,315
1552,4,315
1552,5,720
1552,8,13800
1554,1,2340
1554,3,819
1554,4,819
1554,5,1872
1558,1,900
1558,3,315
1558,4,315
1558,5,720
1558,8,13800
1560,1,2340
1560,3,819
1560,4,819
1560,5,1872
1564,1,900
1564,3,315
1564,4,315
1564,5,720
1564,8,13800
1566,1,2340
1566,3,819
1566,4,819
1566,5,1872
1809,1,1800
1809,3,630
1809,4,630
1809,5,1440
1809,8,30900
1811,1,300
1811,3,105
1811,4,105
1811,5,240
1815,1,300
1815,3,105
1815,4,105
1815,5,240
1817,1,300
1817,3,105
1817,4,105
1817,5,240
1819,1,600
1819,3,210
1819,4,210
1819,5,480
1821,1,600
1821,3,210
1821,4,210
1821,5,480
1823,1,600
1823,3,210
1823,4,210
1823,5,480
1825,1,600
1825,3,210
1825,4,210
1825,5,480
1827,1,900
1827,3,315
1827,4,315
1827,5,720
1829,1,900
1829,3,315
1829,4,315
1829,5,720
1831,1,900
1831,3,315
1831,4,315
1831,5,720
1833,1,900
1833,3,315
1833,4,315
1833,5,720
1856,1,4680
1856,3,1638
1856,4,1638
1856,5,3744
1876,1,1800
1876,3,630
1876,4,630
1876,5,1440
1876,8,30900
1878,1,4680
1878,3,1638
1878,4,1638
1878,5,3744
1945,1,12000
1945,3,4200
1945,4,4200
1945,5,9600
1945,8,128100
2007,1,12000
2007,3,4200
2007,4,4200
2007,5,9600
2007,8,128100
2019,1,1800
2019,3,630
2019,4,630
2019,5,1440
2019,8,30900
2021,1,1800
2021,3,630
2021,4,630
2021,5,1440
2021,8,30900
2023,1,2700
2023,3,945
2023,4,945
2023,5,2160
2023,8,51000
2025,1,4680
2025,3,1638
2025,4,1638
2025,5,3744
2033,1,4680
2033,3,1638
2033,4,1638
2033,5,3744
2039,1,4680
2039,3,1638
2039,4,1638
2039,5,3744
2047,1,900
2047,3,315
2047,4,315
2047,5,720
2047,8,13800
2049,1,2340
2049,3,819
2049,4,819
2049,5,1872
2118,1,4680
2118,3,1638
2118,4,1638
2118,5,3744
2162,1,6000
2162,3,2100
2162,4,2100
2162,5,4800
2162,8,63900
2174,1,600
2174,3,210
2174,4,210
2174,5,480
2174,8,15900
2176,1,3000
2176,3,1050
2176,4,1050
2176,5,2400
2179,1,900
2179,3,315
2179,4,315
2179,5,720
2184,1,600
2184,3,210
2184,4,210
2184,5,480
2184,8,15900
2186,1,3000
2186,3,1050
2186,4,1050
2186,5,2400
2194,1,900
2194,3,315
2194,4,315
2194,5,720
2194,8,23700
2196,1,4500
2196,3,1575
2196,4,1575
2196,5,3600
2204,1,300
2204,3,105
2204,4,105
2204,5,240
2204,8,7800
2206,1,1500
2206,3,525
2206,4,525
2206,5,1200
2211,1,900
2211,3,315
2211,4,315
2211,5,720
2213,1,600
2213,3,210
2213,4,210
2213,5,480
2282,1,4680
2282,3,1638
2282,4,1638
2282,5,3744
2290,1,1800
2290,3,630
2290,4,630
2290,5,1440
2290,8,30900
2292,1,1800
2292,3,630
2292,4,630
2292,5,1440
2292,8,30900
2294,1,1800
2294,3,630
2294,4,630
2294,5,1440
2294,8,30900
2296,1,1800
2296,3,630
2296,4,630
2296,5,1440
2296,8,30900
2298,1,4680
2298,3,1638
2298,4,1638
2298,5,3744
2300,1,4680
2300,3,1638
2300,4,1638
2300,5,3744
2302,1,4680
2302,3,1638
2302,4,1638
2302,5,3744
2304,1,4680
2304,3,1638
2304,4,1638
2304,5,3744
2332,1,900
2332,3,315
2332,4,315
2332,5,720
2332,8,13800
2334,1,4680
2334,3,1638
2334,4,1638
2334,5,3744
2342,1,4680
2342,3,1638
2342,4,1638
2342,5,3744
2356,1,2340
2356,3,819
2356,4,819
2356,5,1872
2405,1,2340
2405,3,819
2405,4,819
2405,5,1872
2411,1,4680
2411,3,1638
2411,4,1638
2411,5,3744
2421,1,7020
2421,3,2457
2421,4,2457
2421,5,5616
2437,1,4500
2437,3,1575
2437,4,1575
2437,5,3600
2445,1,900
2445,3,315
2445,4,315
2445,5,720
2445,8,23700
2447,1,4500
2447,3,1575
2447,4,1575
2447,5,3600
2455,1,300
2455,3,105
2455,4,105
2455,5,240
2455,8,7800
2457,1,1500
2457,3,525
2457,4,525
2457,5,1200
2465,1,300
2465,3,105
2465,4,105
2465,5,240
2465,8,7800
2467,1,1500
2467,3,525
2467,4,525
2467,5,1200
2477,1,900
2477,3,315
2477,4,315
2477,5,720
2477,8,23700
2479,1,4500
2479,3,1575
2479,4,1575
2479,5,3600
2487,1,300
2487,3,105
2487,4,105
2487,5,240
2487,8,7800
2489,1,1500
2489,3,525
2489,4,525
2489,5,1200
2507,1,900
2507,3,315
2507,4,315
2507,5,720
2507,8,68100
2509,1,900
2509,3,315
2509,4,315
2509,5,720
2509,8,68100
2511,1,900
2511,3,315
2511,4,315
2511,5,720
2511,8,68100
2513,1,300
2513,3,105
2513,4,105
2513,5,240
2513,8,22800
2515,1,300
2515,3,105
2515,4,105
2515,5,240
2515,8,22800
2517,1,300
2517,3,105
2517,4,105
2517,5,240
2517,8,22800
2530,1,1800
2530,3,630
2530,4,630
2530,5,1440
2530,8,30900
2532,1,4680
2532,3,1638
2532,4,1638
2532,5,3744
2538,1,1800
2538,3,630
2538,4,630
2538,5,1440
2538,8,30900
2540,1,4680
2540,3,1638
2540,4,1638
2540,5,3744
2546,1,1800
2546,3,630
2546,4,630
2546,5,1440
2546,8,30900
2548,1,4680
2548,3,1638
2548,4,1638
2548,5,3744
2554,1,4680
2554,3,1638
2554,4,1638
2554,5,3744
2604,1,900
2604,3,315
2604,4,315
2604,5,720
2604,8,13800
2606,1,2340
2606,3,819
2606,4,819
2606,5,1872
2614,1,4800
2614,3,168
2614,4,168
2614,5,3840
2622,1,14400
2622,3,504
2622,4,504
2622,5,11520
2630,1,9600
2630,3,336
2630,4,336
2630,5,7680
2638,1,14400
2638,3,504
2638,4,504
2638,5,11520
2648,1,4800
2648,3,168
2648,4,168
2648,5,3840
2656,1,9600
2656,3,336
2656,4,336
2656,5,7680
2680,1,9600
2680,3,336
2680,4,336
2680,5,7680
2735,1,120000
2735,3,42000
2735,4,42000
2735,5,96000
2736,1,12000
2736,3,4200
2736,4,4200
2736,5,9600
2737,1,60000
2737,3,21000
2737,4,21000
2737,5,48000
2738,1,60000
2738,3,21000
2738,4,21000
2738,5,48000
2739,1,300
2739,3,105
2739,4,105
2739,5,240
2740,1,12000
2740,3,4200
2740,4,4200
2740,5,9600
2741,1,12000
2741,3,4200
2741,4,4200
2741,5,9600
2742,1,18000
2742,3,6300
2742,4,6300
2742,5,14400
2743,1,18000
2743,3,6300
2743,4,6300
2743,5,14400
2744,1,12000
2744,3,4200
2744,4,4200
2744,5,9600
2745,1,18000
2745,3,6300
2745,4,6300
2745,5,14400
2746,1,18000
2746,3,6300
2746,4,6300
2746,5,14400
2747,1,18000
2747,3,6300
2747,4,6300
2747,5,14400
2748,1,18000
2748,3,6300
2748,4,6300
2748,5,14400
2749,1,24000
2749,3,8400
2749,4,8400
2749,5,19200
2750,1,12000
2750,3,4200
2750,4,4200
2750,5,9600
2751,1,18000
2751,3,6300
2751,4,6300
2751,5,14400
2752,1,12000
2752,3,4200
2752,4,4200
2752,5,9600
2753,1,18000
2753,3,6300
2753,4,6300
2753,5,14400
2754,1,12000
2754,3,4200
2754,4,4200
2754,5,9600
2755,1,18000
2755,3,6300
2755,4,6300
2755,5,14400
2756,1,24000
2756,3,8400
2756,4,8400
2756,5,19200
2757,1,18000
2757,3,6300
2757,4,6300
2757,5,14400
2758,1,12000
2758,3,4200
2758,4,4200
2758,5,9600
2759,1,18000
2759,3,6300
2759,4,6300
2759,5,14400
2760,1,12000
2760,3,4200
2760,4,4200
2760,5,9600
2761,1,18000
2761,3,6300
2761,4,6300
2761,5,14400
2762,1,12000
2762,3,4200
2762,4,4200
2762,5,9600
2763,1,12000
2763,3,4200
2763,4,4200
2763,5,9600
2764,1,12000
2764,3,4200
2764,4,4200
2764,5,9600
2765,1,24000
2765,3,8400
2765,4,8400
2765,5,19200
2766,1,24000
2766,3,8400
2766,4,8400
2766,5,19200
2767,1,18000
2767,3,6300
2767,4,6300
2767,5,14400
2768,1,18000
2768,3,6300
2768,4,6300
2768,5,14400
2769,1,24000
2769,3,8400
2769,4,8400
2769,5,19200
2770,1,18000
2770,3,6300
2770,4,6300
2770,5,14400
2771,1,18000
2771,3,6300
2771,4,6300
2771,5,14400
2772,1,18000
2772,3,6300
2772,4,6300
2772,5,14400
2773,1,24000
2773,3,8400
2773,4,8400
2773,5,19200
2774,1,90000
2774,3,31500
2774,4,31500
2774,5,72000
2775,1,60000
2775,3,21000
2775,4,21000
2775,5,48000
2776,1,30000
2776,3,10500
2776,4,10500
2776,5,24000
2777,1,90000
2777,3,31500
2777,4,31500
2777,5,72000
2778,1,60000
2778,3,21000
2778,4,21000
2778,5,48000
2779,1,30000
2779,3,10500
2779,4,10500
2779,5,24000
2780,1,90000
2780,3,31500
2780,4,31500
2780,5,72000
2781,1,60000
2781,3,21000
2781,4,21000
2781,5,48000
2782,1,30000
2782,3,10500
2782,4,10500
2782,5,24000
2783,1,90000
2783,3,31500
2783,4,31500
2783,5,72000
2784,1,60000
2784,3,21000
2784,4,21000
2784,5,48000
2785,1,30000
2785,3,10500
2785,4,10500
2785,5,24000
2786,1,18000
2786,3,6300
2786,4,6300
2786,5,14400
2787,1,12000
2787,3,4200
2787,4,4200
2787,5,9600
2788,1,12000
2788,3,4200
2788,4,4200
2788,5,9600
2789,1,12000
2789,3,4200
2789,4,4200
2789,5,9600
2790,1,24000
2790,3,8400
2790,4,8400
2790,5,19200
2791,1,24000
2791,3,8400
2791,4,8400
2791,5,19200
2792,1,12000
2792,3,4200
2792,4,4200
2792,5,9600
2793,1,24000
