typeID,activityID,materialTypeID,quantity
32875,1,34,80000
32875,1,35,15000
32875,1,36,5000
32875,1,37,1000
32875,8,20411,4
32875,8,20421,4
32877,1,34,80000
32877,1,35,15000
32877,1,36,5000
32877,1,37,1000
32877,8,20411,4
32877,8,25887,4
32879,1,34,80000
32879,1,35,15000
32879,1,36,5000
32879,1,37,1000
32879,8,20172,4
32879,8,20411,4
32881,1,34,22400
32881,1,35,4200
32881,1,36,1750
32881,1,37,350
32881,8,20410,2
32881,8,20413,2
32982,1,40,8
32982,1,37,12
32982,1,38,33
32982,1,34,232
32982,8,20418,1
32982,8,20419,1
32984,1,34,1
32986,1,34,1
32988,1,34,13840
32988,1,35,987
32988,1,36,666
32988,1,37,58
32988,1,39,14
32988,1,40,4
32990,1,34,1
33004,1,34,33333
33004,1,35,22222
33006,1,34,11111
33006,1,35,6667
33008,1,34,5556
33008,1,35,5556
33010,1,34,2222
33010,1,35,2222
33012,1,34,1111
33012,1,35,1111
33067,1,34,28
33067,1,35,16
33067,1,36,20
33067,1,37,24
33067,1,38,17
33067,1,39,36
33067,1,40,12
33067,1,16649,8
33067,1,27274,23
33067,1,11399,8
33067,1,30252,10
33067,1,16642,23
33067,1,16653,24
33067,1,4051,16
33067,1,2871,16
33067,1,4312,6
33067,1,16275,1
33067,1,16637,17
33067,1,16638,6
33077,1,40,4
33077,1,34,858
33077,1,35,288
33088,1,40,8
33088,1,25335,13
33102,1,34,2271
33102,1,35,1063
33102,1,36,906
33102,1,37,1
33102,1,38,4
33104,1,34,4662
33104,1,35,1857
33104,1,36,1027
33104,1,37,44
33104,1,38,51
33112,1,40,8
33112,1,25335,13
33150,1,34,333333
33150,1,38,667
33150,1,40,334
33150,1,2870,3
33150,1,2872,3
33150,1,2875,3
33152,1,34,2800000
33152,1,35,1000000
33152,1,36,180000
33152,1,37,20000
33152,1,38,10000
33152,1,39,4000
33152,1,40,2000
33152,1,57472,20
33152,1,57478,200
33152,1,57486,100
33154,1,34,2800000
33154,1,35,1000000
33154,1,36,180000
33154,1,37,20000
33154,1,38,10000
33154,1,39,4000
33154,1,40,2000
33154,1,57471,20
33154,1,57478,200
33154,1,57486,100
33156,1,34,2800000
33156,1,35,1000000
33156,1,36,180000
33156,1,37,20000
33156,1,38,10000
33156,1,39,4000
33156,1,40,2000
33156,1,57470,20
33156,1,57478,200
33156,1,57486,100
33158,1,34,2800000
33158,1,35,1000000
33158,1,36,180000
33158,1,37,20000
33158,1,38,10000
33158,1,39,4000
33158,1,40,2000
33158,1,57473,20
33158,1,57478,200
33158,1,57486,100
33177,1,34,7252
33177,1,35,104
33177,1,36,3
33177,1,37,8
33177,1,38,1
33177,1,11399,2
33177,8,20417,2
33177,8,20418,2
33179,1,34,7252
33179,1,35,104
33179,1,36,3
33179,1,37,8
33179,1,38,1
33179,1,11399,2
33179,8,20417,2
33179,8,20418,2
33181,1,34,7252
33181,1,35,104
33181,1,36,3
33181,1,37,8
33181,1,38,1
33181,1,11399,2
33181,8,20417,2
33181,8,20418,2
33191,1,34,13840
33191,1,35,987
33191,1,36,666
33191,1,37,58
33191,1,39,14
33191,1,40,4
33196,1,16673,18
33196,1,16682,2
33196,1,16678,2
33196,1,16681,2
33198,4,11746,1
33198,4,9836,2
33198,4,3814,4
33198,3,11746,1
33198,3,9836,2
33198,3,3814,4
33198,1,33195,8
33198,1,9840,9
33198,1,9842,6
33198,1,11540,3
33198,1,33176,1
33198,1,11483,1
33198,5,11746,1
33198,5,3812,20
33200,4,11746,1
33200,4,9836,2
33200,4,3814,4
33200,3,11746,1
33200,3,9836,2
33200,3,3814,4
33200,1,33195,8
33200,1,9840,9
33200,1,9842,6
33200,1,11540,3
33200,1,33178,1
33200,1,11483,1
33200,5,11746,1
33200,5,3812,20
33202,4,11746,1
33202,4,9836,2
33202,4,3814,4
33202,3,11746,1
33202,3,9836,2
33202,3,3814,4
33202,1,33195,8
33202,1,9840,9
33202,1,9842,6
33202,1,11540,3
33202,1,11483,1
33202,1,33180,1
33202,5,11746,1
33202,5,3812,20
49625,1,21951,1
49625,1,36956,1
49625,1,36958,5
49625,1,21947,8
49626,1,21951,1
49626,1,36956,1
49626,1,36958,5
49626,1,21947,8
33271,1,34,471
33271,1,35,716
33271,8,20424,1
33271,8,20420,1
33273,4,9836,1
33273,4,3814,1
33273,4,11463,1
33273,3,9836,1
33273,3,3814,1
33273,3,11463,1
33273,1,11399,1
33273,1,9834,6
33273,1,11540,6
33273,1,33270,1
33273,1,11483,1
33273,5,3812,10
33273,5,11463,1
33278,1,25600,417
33278,1,25596,222
33278,1,25599,361
33278,8,20424,4
33278,8,20418,4
33280,4,11466,1
33280,4,9836,8
33280,4,3814,8
33280,1,11481,1
33280,1,25619,113
33280,1,25617,98
33280,1,25615,60
33280,5,11466,1
33280,5,3812,50
33282,1,25600,556
33282,1,25596,444
33282,1,25598,556
33282,8,20424,4
33282,8,20418,4
33284,4,11466,1
33284,4,9836,8
33284,4,3814,8
33284,1,11481,1
33284,1,25619,150
33284,1,25617,150
33284,1,25615,120
33284,5,11466,1
33284,5,3812,50
33286,1,25600,556
33286,1,25596,472
33286,1,25598,556
33286,8,20424,4
33286,8,20418,4
33288,4,11466,1
33288,4,9836,8
33288,4,3814,8
33288,1,11481,1
33288,1,25619,150
33288,1,25617,150
33288,1,25615,128
33288,5,11466,1
33288,5,3812,50
33290,1,25600,417
33290,1,25596,222
33290,1,25598,361
33290,8,20424,4
33290,8,20418,4
33292,4,11466,1
33292,4,9836,8
33292,4,3814,8
33292,1,11481,1
33292,1,25619,113
33292,1,25617,98
33292,1,25615,60
33292,5,11466,1
33292,5,3812,50
33294,1,25600,417
33294,1,25596,222
33294,1,25599,361
33294,8,20424,4
33294,8,20418,4
33296,4,11466,1
33296,4,9836,8
33296,4,3814,8
33296,1,11481,1
33296,1,25619,113
33296,1,25617,98
33296,1,25615,60
33296,5,11466,1
33296,5,3812,50
33299,1,25600,417
33299,1,25596,444
33299,1,25599,361
33299,8,20424,4
33299,8,20418,4
33300,4,11466,1
33300,4,9836,8
33300,4,3814,8
33300,1,11481,1
33300,1,25619,113
33300,1,25617,98
33300,1,25615,120
33300,5,11466,1
33300,5,3812,50
33302,1,25617,150
33302,1,25619,150
33302,1,11486,1
33302,1,25607,60
33302,5,3812,50
33304,1,25604,222
33304,1,25597,444
33304,1,25599,556
33304,8,20417,4
33304,8,20418,4
33306,1,25616,120
33306,1,25617,150
33306,1,11483,1
33306,1,25623,60
33308,1,25600,572
33308,1,25596,522
33308,1,25598,583
33308,8,20424,4
33308,8,20418,4
33310,4,11466,1
33310,4,9836,8
33310,4,3814,8
33310,1,11481,1
33310,1,25619,158
33310,1,25617,158
33310,1,25615,143
33310,5,11466,1
33310,5,3812,50
33312,1,25600,639
33312,1,25596,578
33312,1,25598,672
33312,8,20424,4
33312,8,20418,4
33314,4,11466,1
33314,4,9836,8
33314,4,3814,8
33314,1,11481,1
33314,1,25619,173
33314,1,25617,180
33314,1,25615,158
33314,5,11466,1
33314,5,3812,50
33327,1,34,1
49714,1,34,80000
49714,1,35,15000
49714,1,36,5000
49714,1,37,1000
49714,1,38,120
49714,1,39,80
49714,1,40,40
49714,1,47975,230
49714,1,48112,180
49714,1,57478,40
49714,1,57486,20
49714,8,20172,4
49714,8,52309,4
49715,1,34,3080000
49715,1,35,1100000
49715,1,36,198000
49715,1,37,22000
49715,1,38,13200
49715,1,39,7700
49715,1,40,3850
49715,1,47975,635
49715,1,48112,560
49715,1,57478,440
49715,1,57486,220
49716,1,34,405000
49716,1,35,135000
49716,1,36,27000
49716,1,37,7500
49716,1,38,1875
49716,1,39,900
49716,1,40,450
49716,1,47975,326
49716,1,48112,300
49716,1,57478,150
49716,1,57486,75
49716,8,20421,8
49716,8,52309,8
49717,4,30386,4
49717,4,9836,14
49717,4,3814,28
49717,3,30386,4
49717,3,9836,14
49717,3,3814,28
49717,1,49712,1
49717,1,11478,12
49717,1,52311,20
49717,1,52310,71
49717,1,52314,80
49717,1,11399,90
49717,1,11557,150
49717,1,11537,263
49717,1,52312,750
49717,1,52313,1800
49717,1,11543,2250
49717,5,30386,8
49717,5,3812,100
49721,1,33577,10
49721,1,47975,20
49721,1,2871,25
49721,1,48112,100
49721,1,40,4000
49721,1,39,7000
49721,1,38,10000
49721,1,37,80000
49721,1,36,90000
49721,1,35,400000
49721,1,34,800000
49775,1,47975,20
49775,1,36,108
49775,1,48112,280
49775,1,35,924
49775,1,34,1506
49775,8,20171,2
49775,8,20416,2
49776,1,47975,12
49776,1,36,108
49776,1,48112,300
49776,1,35,924
49776,1,34,1506
49777,1,47975,12
49777,1,36,108
49777,1,48112,300
49777,1,35,924
49777,1,34,1506
49778,4,11457,1
49778,4,9836,3
49778,4,3814,5
49778,3,11457,1
49778,3,9836,3
49778,3,3814,5
49778,1,11475,1
49778,1,49770,1
49778,1,11539,3
49778,1,11399,5
49778,1,9848,12
49778,5,11457,1
49778,5,3812,30
49779,1,47975,22
49779,1,36,108
49779,1,48112,320
49779,1,35,924
49779,1,34,1506
33396,1,34,614356
33396,1,35,154233
33396,1,36,39907
33396,1,37,9687
33396,1,38,2387
33396,1,39,1202
33396,1,40,356
33398,1,34,22804
33398,1,35,6143
33398,1,36,2046
33398,1,37,352
33398,1,38,131
33398,1,39,28
33398,1,40,2
33401,1,34,388889
33401,1,35,83333
33401,1,36,33333
33401,1,37,5556
33401,1,38,1111
33401,1,39,444
33401,1,40,222
33447,1,40,32
33447,1,34,133
33447,1,35,1500
33447,1,38,11
33447,1,39,4
681,1,38,86
682,1,38,133
683,1,34,24000
683,1,35,4500
683,1,36,1875
683,1,37,375
683,8,20416,2
683,8,25887,2
684,1,34,32000
684,1,35,6000
684,1,36,2500
684,1,37,500
684,8,20411,2
684,8,25887,2
685,1,34,24000
685,1,35,4500
685,1,36,1875
685,1,37,375
685,8,20418,2
685,8,25887,2
686,1,34,405000
686,1,35,135000
686,1,36,27000
686,1,37,7500
686,1,38,1125
686,1,39,263
686,1,40,105
686,8,20416,8
686,8,25887,8
687,1,34,540000
687,1,35,180000
687,1,36,36000
687,1,37,10000
687,1,38,1500
687,1,39,350
687,1,40,140
687,8,20411,8
687,8,25887,8
688,1,34,8000000
688,1,35,4000000
688,1,36,600000
688,1,37,400000
688,1,38,12000
688,1,39,6000
688,1,40,3000
688,1,57478,200
688,1,57479,1
688,1,57486,100
688,8,20411,32
688,8,25887,32
689,1,34,32000
689,1,35,6000
689,1,36,2500
689,1,37,500
689,8,20172,2
689,8,20411,2
690,1,34,35200
690,1,35,6600
690,1,36,2750
690,1,37,550
690,8,20172,2
690,8,20414,2
691,1,34,32000
691,1,35,6000
691,1,36,2500
691,1,37,500
691,8,20172,2
691,8,20424,2
692,1,34,540000
692,1,35,180000
692,1,36,36000
692,1,37,10000
692,1,38,1500
692,1,39,350
692,1,40,140
692,8,20172,8
692,8,20411,8
693,1,34,8000000
693,1,35,4000000
693,1,36,600000
693,1,37,400000
693,1,38,12000
693,1,39,6000
693,1,40,3000
693,1,57478,200
693,1,57479,1
693,1,57486,100
693,8,20172,32
693,8,20411,32
33469,1,34,42240
33469,1,35,7920
33469,1,36,3300
33469,1,37,660
33469,1,38,40
33469,1,39,26
33469,1,40,13
33469,1,57470,1
33469,1,57472,1
33469,1,57478,13
33469,1,57486,7
33471,1,34,712800
33471,1,35,237600
33471,1,36,47520
33471,1,37,13200
33471,1,38,1980
33471,1,39,1320
33471,1,40,660
33471,1,57470,10
33471,1,57472,10
33471,1,57478,132
33471,1,57486,66
33473,1,34,10560000
33473,1,35,5280000
33473,1,36,792000
33473,1,37,528000
33473,1,38,39600
33473,1,39,10560
33473,1,40,5280
33473,1,57470,50
33473,1,57472,50
33473,1,57478,528
33473,1,57479,1
33473,1,57486,264
33514,1,34,2778
33515,1,33477,1
33517,1,34,5556
33517,1,35,222
33517,1,39,444
33517,1,9834,3
33517,1,2351,3
33517,1,2352,1
33517,1,17898,1
33518,1,34,277778
33518,1,35,11111
33518,1,37,5556
33518,1,39,11112
33518,1,40,1112
33518,1,9834,22
33518,1,2867,4
33518,1,2870,9
33518,1,2872,2
33518,1,2875,4
33518,1,2876,2
33519,1,39,948
33519,1,2876,1
33519,1,17136,2
33519,1,2870,2
33519,1,24348,1
33521,1,34,5556
33521,1,35,222
33521,1,39,444
33521,1,9834,3
33521,1,2351,3
33521,1,2352,1
33521,1,17898,1
33523,1,34,5556
33523,1,35,222
33523,1,39,444
33523,1,9834,3
33523,1,2351,3
33523,1,2352,1
33523,1,17898,1
41087,1,37291,1
41087,1,41302,30
41087,1,41303,34
41087,1,41269,35
33536,1,33539,34
33536,1,2346,542
33536,1,11399,79
33536,1,2367,594
33543,1,33539,40
33543,1,11399,114
33543,1,2348,620
33543,1,2367,542
33545,1,12836,691
33545,1,33539,47
33545,1,2348,887
33545,1,11399,146
33546,1,2346,1070
33546,1,33539,62
33546,1,12836,1261
33546,1,11399,172
33547,1,33539,54
33547,1,11399,157
33547,1,12836,906
33547,1,2367,888
33548,1,33539,68
33548,1,2346,687
33548,1,11399,183
33548,1,2348,609
33548,1,2367,654
784,4,11459,1
784,4,9836,1
784,4,3814,3
784,3,11459,1
784,3,3814,3
784,1,11399,1
784,1,3689,8
784,1,483,1
784,1,11541,5
784,1,11689,3
784,1,11482,1
784,5,11459,1
784,5,3812,6
785,1,34,1324
785,1,35,481
785,1,36,119
785,8,20424,2
785,8,20413,2
786,1,34,471
786,1,35,716
786,8,20423,1
786,8,20420,1
788,1,34,3258
788,1,35,2926
788,1,36,107
788,8,20423,2
788,8,20420,2
790,1,40,22
790,1,34,122
790,1,35,1342
790,1,38,9
790,1,39,4
790,8,20423,3
790,8,20420,3
33560,1,33539,32
33560,1,11399,94
33560,1,12836,543
33560,1,2367,532
33562,1,2346,642
33562,1,33539,38
33562,1,12836,757
33562,1,11399,103
33564,1,12836,414
33564,1,33539,28
33564,1,2348,532
33564,1,11399,88
33566,1,33539,41
33566,1,2346,412
33566,1,11399,110
33566,1,2348,366
33566,1,2367,392
803,1,34,3084
803,1,35,472
803,1,36,68
803,1,39,4
803,8,20418,1
803,8,20420,1
804,1,34,1867
804,1,35,144
804,1,36,17
804,1,38,2
804,1,39,4
804,8,20418,1
804,8,20420,1
805,1,34,1842
805,1,35,707
805,1,39,4
805,8,20418,1
805,8,20420,1
806,1,34,1447
806,1,36,81
806,1,37,4
806,1,39,2
806,8,20418,1
806,8,20420,1
807,1,34,351
807,1,35,119
807,1,38,1
807,8,20418,1
807,8,20420,1
808,1,34,496
808,1,35,220
808,1,38,2
808,8,20418,1
808,8,20420,1
809,1,34,716
809,1,35,2
809,1,36,6
809,1,38,3
809,8,20418,1
809,8,20420,1
810,1,34,820
810,1,38,2
810,8,20418,1
810,8,20420,1
811,1,34,69
811,1,35,43
811,1,36,2
811,8,20418,1
811,8,20420,1
812,1,34,58
812,1,35,72
812,8,20418,1
812,8,20420,1
813,1,34,150
813,1,35,18
813,1,36,12
813,8,20418,1
813,8,20420,1
814,1,34,54
814,1,35,16
814,1,36,6
814,8,20418,1
814,8,20420,1
49967,1,2346,1
49967,1,12836,1
49967,1,21587,1
49967,1,21596,1
49967,1,23158,1
49967,1,23163,1
49967,1,48927,42
33584,1,33583,1
49969,1,2346,1
49969,1,12836,1
49969,1,21587,1
49969,1,21596,1
49969,1,23158,1
49969,1,23163,1
49969,1,48927,84
33586,1,34,1328
33586,1,35,674
33586,1,36,431
33586,1,37,221
33586,1,38,219
33586,1,39,56
33586,1,40,20
819,1,34,231
819,1,35,220
819,8,20424,1
819,8,20423,1
820,1,34,996
820,1,35,300
820,1,39,2
820,8,20424,1
820,8,20423,1
821,1,34,1667
821,1,35,144
821,1,36,83
821,1,37,22
821,8,20424,1
821,8,20423,1
822,1,34,1596
822,1,35,690
822,1,36,144
822,8,20424,1
822,8,20423,1
823,1,34,2729
823,1,35,148
823,1,36,171
823,1,39,4
823,8,20424,1
823,8,20423,1
824,1,34,827
824,1,35,598
824,1,36,493
824,8,20424,2
824,8,20423,2
825,1,40,2
825,1,34,4453
825,1,35,1287
825,1,36,1199
825,8,20424,2
825,8,20423,2
826,1,34,4529
826,1,35,1643
826,1,36,2413
826,1,38,1
826,8,20424,2
826,8,20423,2
827,1,34,9089
827,1,35,2786
827,1,36,2827
827,1,37,14
827,1,38,1
827,8,20424,2
827,8,20423,2
828,1,34,9133
828,1,35,2981
828,1,36,3599
828,1,37,2
828,1,38,18
828,8,20424,2
828,8,20423,2
829,1,40,8
829,1,34,13684
829,1,35,4117
829,1,36,3851
829,1,39,2
829,8,20424,3
829,8,20423,3
830,1,34,45551
830,1,35,12150
830,1,36,6060
830,1,37,1596
830,1,38,126
830,1,39,16
830,8,20424,3
830,8,20423,3
831,1,34,68307
831,1,35,17839
831,1,36,7197
831,1,37,1951
831,1,38,234
831,1,39,12
831,1,40,26
831,8,20424,3
831,8,20423,3
832,1,34,91067
832,1,35,23527
832,1,36,8613
832,1,37,2294
832,1,38,324
832,1,39,18
832,1,40,52
832,8,20424,3
832,8,20423,3
833,1,34,113880
833,1,35,29214
833,1,36,9747
833,1,37,2650
833,1,38,411
833,1,39,42
833,1,40,74
833,8,20424,3
833,8,20423,3
834,1,34,231
834,1,35,220
834,8,20411,1
834,8,20413,1
835,1,34,1102
835,1,35,113
835,1,36,4
835,1,38,2
835,1,39,2
835,8,20411,1
835,8,20413,1
836,1,34,1742
836,1,35,6
836,1,36,78
836,1,37,13
836,1,39,2
836,8,20411,1
836,8,20413,1
837,1,34,1556
837,1,35,1158
837,1,36,3
837,1,37,7
837,8,20411,1
837,8,20413,1
838,1,34,2200
838,1,35,809
838,1,36,21
838,1,37,4
838,1,39,4
838,8,20411,1
838,8,20413,1
839,1,34,9
839,1,35,598
839,1,36,493
839,8,20411,2
839,8,20413,2
840,1,40,2
840,1,34,4453
840,1,35,1287
840,1,36,1199
840,8,20411,2
840,8,20413,2
841,1,34,4529
841,1,35,1643
841,1,36,2413
841,1,38,1
841,8,20411,2
841,8,20413,2
842,1,34,9089
842,1,35,2786
842,1,36,2827
842,1,37,14
842,1,38,1
842,8,20411,2
842,8,20413,2
843,1,34,9133
843,1,35,2981
843,1,36,3599
843,1,37,2
843,1,38,18
843,8,20411,2
843,8,20413,2
844,1,40,8
844,1,34,13684
844,1,35,4117
844,1,36,3851
844,1,39,2
844,8,20411,3
844,8,20413,3
845,1,34,45551
845,1,35,12150
845,1,36,6060
845,1,37,1596
845,1,38,126
845,1,39,16
845,8,20411,3
845,8,20413,3
846,1,34,68307
846,1,35,17839
846,1,36,7197
846,1,37,1951
846,1,38,234
846,1,39,12
846,1,40,26
846,8,20411,3
846,8,20413,3
847,1,34,91067
847,1,35,23527
847,1,36,8613
847,1,37,2294
847,1,38,324
847,1,39,18
847,1,40,52
847,8,20411,3
847,8,20413,3
848,1,34,113880
848,1,35,29214
848,1,36,9747
848,1,37,2650
848,1,38,411
848,1,39,42
848,1,40,74
848,8,20411,3
848,8,20413,3
33624,1,24692,1
33626,1,24692,1
50011,1,2346,1
50011,1,12836,1
50011,1,21587,1
50011,1,21596,1
50011,1,23158,1
50011,1,23163,1
50011,1,48927,42
33628,1,24688,1
50013,1,2346,1
50013,1,12836,1
50013,1,21587,1
50013,1,21596,1
50013,1,23158,1
50013,1,23163,1
50013,1,48927,84
33630,1,24688,1
33632,1,24694,1
33634,1,24694,1
33636,1,24690,1
33638,1,24690,1
33640,1,2006,1
33642,1,2006,1
33644,1,621,1
57490,11,4246,5
57490,11,16633,100
57490,11,16635,100
33646,1,621,1
879,1,34,27
879,1,35,21
879,8,20424,1
879,8,20423,1
880,1,34,38
880,1,35,32
880,8,20424,1
880,8,20423,1
881,1,34,58
881,1,35,23
881,1,37,1
882,1,34,118
882,1,36,1
882,1,37,2
882,8,20423,1
882,8,20424,1
883,1,34,58
883,1,35,64
883,1,36,1
883,8,20424,1
883,8,20423,1
884,1,34,162
884,1,35,3
884,1,37,3
885,1,34,164
885,1,35,17
885,1,37,3
886,1,34,204
886,1,35,17
886,1,38,1
887,1,34,164
887,1,35,17
887,1,37,3
887,8,20424,1
887,8,20423,1
888,1,34,116
888,1,35,129
888,1,36,2
888,8,20424,1
888,8,20423,1
889,1,34,139
889,1,35,194
890,1,34,290
890,1,35,119
890,1,36,14
890,1,37,2
890,8,20423,1
890,8,20424,1
891,1,34,288
891,1,35,254
891,8,20424,1
891,8,20423,1
892,1,34,239
892,1,35,318
892,1,36,1
893,1,34,668
893,1,35,36
893,1,36,4
893,1,37,14
894,1,34,449
894,1,35,417
894,1,36,7
895,1,34,249
895,1,35,198
895,1,37,1
895,8,20424,1
895,8,20423,1
896,1,34,520
896,1,35,100
896,1,36,2
896,1,37,2
896,1,38,2
896,8,20424,1
896,8,20423,1
897,1,34,511
897,1,35,428
898,1,34,458
898,1,35,580
898,8,20423,1
898,8,20424,1
899,1,34,1040
899,1,35,156
899,1,36,104
899,8,20424,1
899,8,20423,1
900,1,34,1236
900,1,35,223
900,1,36,110
901,1,34,1529
901,1,36,89
901,1,37,23
902,1,34,1778
902,1,35,127
902,1,36,89
902,1,37,29
33672,1,34,10973
33672,1,35,830
33672,1,36,299
33672,1,37,450
33672,1,38,30
33672,8,20419,3
33672,8,20418,3
33674,1,11552,56
33674,1,34,2443
33674,1,35,1802
33674,1,36,184
33674,1,37,98
33674,1,11558,17
33674,1,39,22
33674,1,40,22
33674,1,11399,6
33674,1,11533,33
33674,1,11534,22
33674,1,3828,11
33674,1,11544,333
33674,1,11540,89
33674,1,11550,3
57495,11,4246,5
57495,11,57443,1
57495,11,57459,160
57495,11,57460,160
57495,11,57461,160
57495,11,57462,160
33676,1,11552,278
33676,1,34,41391
33676,1,35,2834
33676,1,36,243
33676,1,37,379
33676,1,38,43
33676,1,39,202
33676,1,40,114
33676,1,11399,111
33676,1,11533,42
33676,1,11534,367
33676,1,3828,56
33676,1,11544,2778
33676,1,11540,1333
33676,1,11558,222
33676,1,11550,22
33678,1,17841,1
33682,1,11481,1
33682,1,21815,2
33682,1,28366,3
33682,1,11688,5
33682,1,11690,5
33682,1,28365,6
33682,1,28364,9
33682,1,40,10
33682,1,28363,10
33682,1,54562,10
33682,1,28362,14
33682,1,28361,16
33682,1,9834,18
33682,1,9848,18
33682,1,11399,18
33682,1,39,36
33682,1,38,55
33682,1,37,105
33682,1,35,6420
33682,1,34,12150
33684,1,22548,1
33686,1,28606,1
57497,11,4051,5
57497,11,28694,40
57497,11,28697,40
57497,11,57446,1
33688,1,28352,1
50073,1,47263,1
50073,1,12836,3
50073,1,48927,110
50073,1,23163,312
33690,1,657,1
33692,1,649,1
33694,1,652,1
33696,1,1944,1
33698,1,3828,20
33698,1,11399,35
33698,1,11478,4
33698,1,11531,18
33698,1,11535,15
33698,1,11541,170
33698,1,11545,200
33698,1,11547,3
33698,1,11553,42
33698,1,11556,22
33698,1,32880,1
33698,5,3812,80
33698,5,11467,4
33701,1,39,948
33701,1,2876,1
33701,1,17136,2
33701,1,2870,2
33701,1,24348,1
936,1,34,32000
936,1,35,6000
936,1,36,2500
936,1,37,500
936,8,20411,2
936,8,20421,2
937,1,34,24000
937,1,35,4500
937,1,36,1875
937,1,37,375
937,8,20416,2
937,8,20421,2
17322,1,16673,31
17322,1,16682,1
17322,1,16679,11
939,1,34,24000
939,1,35,4500
939,1,36,1875
939,1,37,375
939,8,20410,2
939,8,20416,2
17324,1,16680,3
17324,1,16673,13
17324,1,16683,1
17325,1,16680,6
17325,1,16673,17
17325,1,33361,2
17325,1,16681,2
17326,1,16680,7
17326,1,16673,22
17326,1,16681,2
17327,1,16681,1
17327,1,33362,2
17327,1,16679,11
17327,1,16671,27
17328,1,16678,11
17328,1,16671,44
17329,1,16680,3
17329,1,16683,1
17329,1,16670,13
17330,1,16672,17
17330,1,16680,6
17330,1,33360,2
17330,1,16681,2
17331,1,17317,2
17331,1,16670,9
17332,1,16680,7
17332,1,16681,2
17332,1,16671,22
17333,1,16673,22
17333,1,16682,2
17333,1,16681,1
950,1,34,32000
950,1,35,6000
950,1,36,2500
950,1,37,500
950,8,20424,2
950,8,25887,2
17335,1,16672,22
17335,1,16680,7
17335,1,16681,2
17336,1,16672,22
17336,1,16681,1
17336,1,16682,2
17338,1,16672,9
17338,1,17317,2
17339,1,16680,7
17339,1,16681,2
17339,1,16670,22
17340,1,16681,1
17340,1,16682,2
17340,1,16671,22
17341,1,16683,1
17341,1,16678,9
17341,1,16670,22
17342,1,16673,9
17342,1,17317,2
17345,1,16681,1
17345,1,16682,2
17345,1,16670,22
17346,1,16673,22
17346,1,16683,1
17346,1,16678,9
967,1,34,2778
968,1,34,540000
968,1,35,180000
968,1,36,36000
968,1,37,10000
968,1,38,1500
968,1,39,350
968,1,40,140
968,8,20424,8
968,8,25887,8
969,1,34,540000
969,1,35,180000
969,1,36,36000
969,1,37,10000
969,1,38,1500
969,1,39,350
969,1,40,140
969,8,20421,8
969,8,20424,8
970,1,34,405000
970,1,35,135000
970,1,36,27000
970,1,37,7500
970,1,38,1125
970,1,39,263
970,1,40,105
970,8,20416,8
970,8,20421,8
971,1,34,540000
971,1,35,180000
971,1,36,36000
971,1,37,10000
971,1,38,1500
971,1,39,350
971,1,40,140
971,8,20410,8
971,8,20424,8
972,1,34,540000
972,1,35,180000
972,1,36,36000
972,1,37,10000
972,1,38,1500
972,1,39,350
972,1,40,140
972,8,20410,8
972,8,20411,8
57506,11,4246,5
57506,11,25278,10
57506,11,25279,10
57506,11,57448,1
974,1,34,540000
974,1,35,180000
974,1,36,36000
974,1,37,10000
974,1,38,1500
